Array length,Avg MinDistance() basic ops,Avg MinDistance2() basic ops
100,10000,4950
120,14400,7140
140,19600,9730
160,25600,12720
180,32400,16110
200,40000,19900
220,48400,24090
240,57600,28680
260,67600,33670
280,78400,39060
300,90000,44850
320,102400,51040
340,115600,57630
360,129600,64620
380,144400,72010
400,160000,79800
420,176400,87990
440,193600,96580
460,211600,105570
480,230400,114960
500,250000,124750
520,270400,134940
540,291600,145530
560,313600,156520
580,336400,167910
600,360000,179700
620,384400,191890
640,409600,204480
660,435600,217470
680,462400,230860
700,490000,244650
720,518400,258840
740,547600,273430
760,577600,288420
780,608400,303810
800,640000,319600
820,672400,335790
840,705600,352380
860,739600,369370
880,774400,386760
900,810000,404550
920,846400,422740
940,883600,441330
960,921600,460320
980,960400,479710
1000,1000000,499500
