Array length,MinDistance(),MinDistance2()
25,603,300
50,2457,1225
75,5558,2775
100,9913,4950
125,15507,7750
150,22368,11175
175,30458,15225
200,39811,19900
225,50407,25200
250,62261,31125
275,75359,37675
300,89716,44850
325,105314,52650
350,122161,61075
375,140265,70125
400,159614,79800
425,180213,90100
450,202063,101025
475,225165,112575
500,249512,124750
525,275111,137550
550,301958,150975
575,330065,165025
600,359414,179700
625,390009,195000
650,421872,210925
675,454963,227475
700,489310,244650
725,524910,262450
750,561766,280875
775,599863,299925
800,639213,319600
825,679812,339900
850,721656,360825
875,764760,382375
900,809112,404550
925,854711,427350
950,901567,450775
975,949663,474825
1000,999018,499500
1025,1049613,524800
1050,1101462,550725
1075,1154564,577275
1100,1208913,604450
1125,1264516,632250
1150,1321367,660675
1175,1379461,689725
1200,1438816,719400
1225,1499417,749700
1250,1561260,780625
1275,1624360,812175
1300,1688714,844350
1325,1754308,877150
1350,1821161,910575
1375,1889265,944625
1400,1958610,979300
1425,2029208,1014600
1450,2101062,1050525
1475,2174162,1087075
1500,2248515,1124250
1525,2324112,1162050
1550,2400964,1200475
1575,2479071,1239525
1600,2558421,1279200
1625,2639018,1319500
1650,2720860,1360425
1675,2803969,1401975
1700,2888321,1444150
1725,2973912,1486950
1750,3060763,1530375
1775,3148865,1574425
1800,3238217,1619100
1825,3328813,1664400
1850,3420667,1710325
1875,3513763,1756875
1900,3608119,1804050
1925,3703716,1851850
1950,3800569,1900275
1975,3898661,1949325
2000,3998011,1999000
2025,4098617,2049300
2050,4200464,2100225
2075,4303571,2151775
2100,4407907,2203950
2125,4513519,2256750
2150,4620369,2310175
2175,4728463,2364225
2200,4837814,2418900
2225,4948418,2474200
2250,5060260,2530125
2275,5173361,2586675
2300,5287718,2643850
2325,5403313,2701650
2350,5520161,2760075
2375,5638272,2819125
2400,5757619,2878800
2425,5878216,2939100
2450,6000071,3000025
2475,6123164,3061575
2500,6247516,3123750
2525,6373117,3186550
2550,6499962,3249975
2575,6628065,3314025
2600,6757418,3378700
2625,6888019,3444000
2650,7019867,3509925
2675,7152962,3576475
2700,7287321,3643650
2725,7422915,3711450
2750,7559762,3779875
2775,7697861,3848925
2800,7837214,3918600
2825,7977819,3988900
2850,8119660,4059825
2875,8262767,4131375
2900,8407110,4203550
2925,8552719,4276350
2950,8699565,4349775
2975,8847666,4423825
3000,8997015,4498500
3025,9147608,4573800
3050,9299464,4649725
3075,9452566,4726275
3100,9606917,4803450
3125,9762514,4881250
3150,9919373,4959675
3175,10077465,5038725
3200,10236820,5118400
3225,10397423,5198700
3250,10559263,5279625
3275,10722368,5361175
3300,10886718,5443350
3325,11052318,5526150
3350,11219157,5609575
3375,11387271,5693625
3400,11556618,5778300
3425,11727218,5863600
3450,11899072,5949525
3475,12072171,6036075
3500,12246523,6123250
3525,12422116,6211050
3550,12598969,6299475
3575,12777062,6388525
3600,12956424,6478200
3625,13137023,6568500
3650,13318874,6659425
3675,13501960,6750975
3700,13686313,6843150
3725,13871913,6935950
3750,14058768,7029375
3775,14246861,7123425
3800,14436214,7218100
3825,14626809,7313400
3850,14818666,7409325
3875,15011766,7505875
3900,15206115,7603050
3925,15401719,7700850
3950,15598563,7799275
3975,15796670,7898325
4000,15996017,7998000
4025,16196619,8098300
4050,16398469,8199225
4075,16601570,8300775
4100,16805921,8402950
4125,17011516,8505750
4150,17218370,8609175
4175,17426466,8713225
4200,17635819,8817900
4225,17846416,8923200
4250,18058272,9029125
4275,18271361,9135675
4300,18485715,9242850
4325,18701316,9350650
4350,18918167,9459075
4375,19136263,9568125
4400,19355617,9677800
4425,19576221,9788100
4450,19798070,9899025
4475,20021170,10010575
4500,20245522,10122750
4525,20471112,10235550
4550,20697969,10348975
4575,20926064,10463025
4600,21155425,10577700
4625,21386016,10693000
4650,21617865,10808925
4675,21850967,10925475
4700,22085313,11042650
4725,22320916,11160450
4750,22557767,11278875
4775,22795864,11397925
4800,23035218,11517600
4825,23275823,11637900
4850,23517670,11758825
4875,23760764,11880375
4900,24005124,12002550
4925,24250715,12125350
4950,24497567,12248775
4975,24745665,12372825
5000,24995012,12497500
5025,25245617,12622800
5050,25497469,12748725
5075,25750565,12875275
5100,26004912,13002450
5125,26260522,13130250
5150,26517362,13258675
5175,26775474,13387725
5200,27034814,13517400
5225,27295414,13647700
5250,27557273,13778625
5275,27820371,13910175
5300,28084719,14042350
5325,28350316,14175150
5350,28617169,14308575
5375,28885265,14442625
5400,29154619,14577300
5425,29425215,14712600
5450,29697068,14848525
5475,29970162,14985075
5500,30244517,15122250
5525,30520112,15260050
5550,30796969,15398475
5575,31075068,15537525
5600,31354419,15677200
5625,31635021,15817500
5650,31916864,15958425
5675,32199979,16099975
5700,32484318,16242150
5725,32769916,16384950
5750,33056763,16528375
5775,33344867,16672425
5800,33634218,16817100
5825,33924818,16962400
5850,34216674,17108325
5875,34509771,17254875
5900,34804120,17402050
5925,35099720,17549850
5950,35396569,17698275
5975,35694666,17847325
6000,35994014,17997000
6025,36294628,18147300
6050,36596468,18298225
6075,36899566,18449775
6100,37203920,18601950
6125,37509513,18754750
6150,37816371,18908175
6175,38124464,19062225
6200,38433815,19216900
6225,38744411,19372200
6250,39056268,19528125
6275,39369360,19684675
6300,39683718,19841850
6325,39999315,19999650
6350,40316171,20158075
6375,40634258,20317125
6400,40953619,20476800
6425,41274214,20637100
6450,41596062,20798025
6475,41919172,20959575
6500,42243523,21121750
6525,42569125,21284550
6550,42895967,21447975
6575,43224068,21612025
6600,43553424,21776700
6625,43884014,21942000
6650,44215873,22107925
6675,44548974,22274475
6700,44883323,22441650
6725,45218911,22609450
6750,45555772,22777875
6775,45893868,22946925
6800,46233220,23116600
6825,46573817,23286900
6850,46915669,23457825
6875,47258762,23629375
6900,47603114,23801550
6925,47948719,23974350
6950,48295565,24147775
6975,48643672,24321825
7000,48993014,24496500
7025,49343618,24671800
7050,49695465,24847725
7075,50048565,25024275
7100,50402919,25201450
7125,50758518,25379250
7150,51115364,25557675
7175,51473469,25736725
7200,51832820,25916400
7225,52193416,26096700
7250,52555269,26277625
7275,52918370,26459175
7300,53282717,26641350
7325,53648316,26824150
7350,54015167,27007575
7375,54383262,27191625
7400,54752619,27376300
7425,55123212,27561600
7450,55495069,27747525
7475,55868161,27934075
7500,56242523,28121250
7525,56618116,28309050
7550,56994965,28497475
7575,57373072,28686525
7600,57752416,28876200
7625,58133018,29066500
7650,58514866,29257425
7675,58897967,29448975
7700,59282315,29641150
7725,59667921,29833950
7750,60054776,30027375
7775,60442861,30221425
7800,60832227,30416100
7825,61222809,30611400
7850,61614666,30807325
7875,62007771,31003875
7900,62402120,31201050
7925,62797716,31398850
7950,63194566,31597275
7975,63592674,31796325
8000,63992019,31996000
8025,64392613,32196300
8050,64794477,32397225
8075,65197565,32598775
8100,65601916,32800950
8125,66007525,33003750
8150,66414370,33207175
8175,66822460,33411225
8200,67231813,33615900
8225,67642409,33821200
8250,68054271,34027125
8275,68467359,34233675
8300,68881722,34440850
8325,69297312,34648650
8350,69714167,34857075
8375,70132267,35066125
8400,70551615,35275800
8425,70972214,35486100
8450,71394075,35697025
8475,71817168,35908575
8500,72241521,36120750
8525,72667120,36333550
8550,73093971,36546975
8575,73522064,36761025
8600,73951416,36975700
8625,74382020,37191000
8650,74813869,37406925
8675,75246971,37623475
8700,75681315,37840650
8725,76116919,38058450
8750,76553773,38276875
8775,76991869,38495925
8800,77431209,38715600
8825,77871821,38935900
8850,78313672,39156825
8875,78756771,39378375
8900,79201118,39600550
8925,79646715,39823350
8950,80093577,40046775
8975,80541669,40270825
9000,80991023,40495500
9025,81441616,40720800
9050,81893469,40946725
9075,82346572,41173275
9100,82800914,41400450
9125,83256519,41628250
9150,83713363,41856675
9175,84171466,42085725
9200,84630812,42315400
9225,85091422,42545700
9250,85553272,42776625
9275,86016369,43008175
9300,86480715,43240350
9325,86946321,43473150
9350,87413171,43706575
9375,87881277,43940625
9400,88350616,44175300
9425,88821221,44410600
9450,89293069,44646525
9475,89766165,44883075
9500,90240514,45120250
9525,90716115,45358050
9550,91192969,45596475
9575,91671067,45835525
9600,92150425,46075200
9625,92631013,46315500
9650,93112871,46556425
9675,93595965,46797975
9700,94080315,47040150
9725,94565919,47282950
9750,95052778,47526375
9775,95540868,47770425
9800,96030223,48015100
9825,96520813,48260400
9850,97012671,48506325
9875,97505770,48752875
9900,98000111,49000050
9925,98495720,49247850
9950,98992566,49496275
9975,99490666,49745325
10000,99990017,49995000
