Array length,Avg MinDistance() etime (ms),Avg MinDistance2() etime (ms)
25,0,0
50,0,0
75,0,0
100,0,0
125,0,0
150,0,0
175,0,0
200,0,0
225,0,0
250,0,0
275,0,0
300,0,0
325,0,0
350,0,0
375,0,0
400,0,0
425,0,0
450,0,0
475,0,0
500,0,0
525,0,0
550,0,0
575,1,0
600,1,0
625,0,0
650,0,0
675,0,0
700,0,0
725,1,0
750,1,0
775,1,0
800,1,0
825,1,1
850,1,0
875,1,0
900,1,0
925,2,0
950,2,1
975,2,1
1000,2,1
1025,2,1
1050,3,1
1075,3,1
1100,3,1
1125,3,1
1150,3,1
1175,4,2
1200,4,2
1225,4,2
1250,4,2
1275,4,2
1300,4,2
1325,4,2
1350,5,2
1375,5,2
1400,5,2
1425,5,2
1450,6,3
1475,5,2
1500,5,3
1525,6,3
1550,6,3
1575,6,3
1600,6,3
1625,7,3
1650,7,3
1675,7,3
1700,7,4
1725,8,4
1750,8,4
1775,8,4
1800,8,4
1825,9,4
1850,9,5
1875,9,5
1900,9,5
1925,10,5
1950,10,5
1975,10,5
2000,10,5
2025,11,5
2050,11,5
2075,11,6
2100,12,6
2125,13,6
2150,12,6
2175,13,6
2200,13,7
2225,13,6
2250,13,7
2275,14,7
2300,14,7
2325,17,8
2350,16,8
2375,15,7
2400,15,8
2425,16,8
2450,16,8
2475,17,8
2500,17,9
2525,18,9
2550,17,9
2575,18,9
2600,18,9
2625,18,9
2650,19,9
2675,20,10
2700,20,11
2725,20,10
2750,20,10
2775,22,11
2800,22,11
2825,21,11
2850,23,12
2875,24,12
2900,24,12
2925,24,12
2950,25,13
2975,25,13
3000,27,14
3025,27,14
3050,27,14
3075,27,14
3100,28,15
3125,28,15
3150,30,15
3175,30,16
3200,29,15
3225,30,16
3250,30,16
3275,30,16
3300,30,15
3325,31,16
3350,30,15
3375,49,26
3400,35,18
3425,34,17
3450,37,20
3475,38,19
3500,41,21
3525,45,23
3550,38,19
3575,36,19
3600,36,18
3625,38,19
3650,37,19
3675,69,39
3700,44,22
3725,39,20
3750,38,19
3775,41,22
3800,51,26
3825,51,27
3850,47,24
3875,56,32
3900,43,23
3925,43,22
3950,45,23
3975,48,25
4000,45,23
4025,46,24
4050,48,25
4075,50,27
4100,49,26
4125,48,24
4150,50,26
4175,51,26
4200,49,25
4225,53,28
4250,51,26
4275,50,26
4300,51,27
4325,56,29
4350,53,28
4375,57,29
4400,57,30
4425,56,29
4450,56,29
4475,55,28
4500,59,29
4525,57,33
4550,57,29
4575,63,33
4600,61,31
4625,61,31
4650,64,34
4675,61,31
4700,69,36
4725,72,37
4750,65,34
4775,68,37
4800,81,43
4825,71,40
4850,73,39
4875,85,43
4900,79,38
4925,67,35
4950,84,48
4975,75,40
5000,78,39
5025,82,44
5050,76,39
5075,81,41
5100,96,45
5125,96,49
5150,82,45
5175,85,44
5200,102,54
5225,88,45
5250,77,40
5275,80,41
5300,89,51
5325,91,46
5350,86,45
5375,87,48
5400,113,58
5425,98,52
5450,114,62
5475,105,56
5500,93,47
5525,96,49
5550,112,59
5575,109,53
5600,99,51
5625,91,48
5650,107,55
5675,109,59
5700,102,53
5725,96,51
5750,96,51
5775,99,52
5800,97,51
5825,99,52
5850,97,51
5875,97,51
5900,103,56
5925,103,55
5950,102,53
5975,100,51
6000,103,55
6025,102,53
6050,102,53
6075,102,53
6100,109,58
6125,111,58
6150,111,57
6175,114,60
6200,112,59
6225,115,61
6250,112,59
6275,120,63
6300,118,62
6325,120,63
6350,122,63
6375,119,62
6400,118,64
6425,117,61
6450,122,65
6475,120,64
6500,118,62
6525,123,65
6550,123,64
6575,127,65
6600,130,69
6625,126,67
6650,124,64
6675,129,67
6700,132,69
6725,133,70
6750,135,69
6775,136,71
6800,132,69
6825,129,67
6850,130,68
6875,131,69
6900,131,68
6925,132,69
6950,134,70
6975,133,69
7000,138,71
7025,148,78
7050,148,79
7075,150,81
7100,146,77
7125,157,84
7150,176,95
7175,154,80
7200,145,76
7225,145,75
7250,153,82
7275,148,77
7300,146,76
7325,147,76
7350,148,77
7375,149,77
7400,150,77
7425,150,78
7450,152,78
7475,152,79
7500,153,80
7525,154,80
7550,155,81
7575,159,82
7600,159,82
7625,161,84
7650,160,83
7675,161,84
7700,162,85
7725,169,91
7750,169,88
7775,226,125
7800,352,177
7825,195,105
7850,191,103
7875,190,103
7900,194,102
7925,195,101
7950,201,104
7975,236,138
8000,220,117
8025,225,115
8050,202,107
8075,212,122
8100,208,111
8125,255,132
8150,245,133
8175,215,113
8200,244,138
8225,234,122
8250,223,119
8275,223,116
8300,223,119
8325,237,125
8350,224,115
8375,225,117
8400,230,119
8425,218,115
8450,228,127
8475,244,132
8500,253,131
8525,251,130
8550,257,132
8575,247,135
8600,256,137
8625,253,133
8650,247,132
8675,242,129
8700,265,141
8725,246,131
8750,255,141
8775,256,139
8800,220,115
8825,222,117
8850,223,115
8875,224,115
8900,226,116
8925,265,139
8950,258,139
8975,267,148
9000,261,142
9025,235,123
9050,236,121
9075,234,121
9100,239,122
9125,240,124
9150,242,126
9175,276,147
9200,281,150
9225,282,152
9250,291,155
9275,290,156
9300,306,164
9325,298,164
9350,282,150
9375,292,158
9400,291,158
9425,285,153
9450,293,158
9475,310,164
9500,283,149
9525,277,145
9550,277,149
9575,271,145
9600,276,146
9625,327,186
9650,341,181
9675,347,192
9700,321,174
9725,319,178
9750,359,191
9775,357,216
9800,348,184
9825,347,186
9850,344,186
9875,337,186
9900,371,205
9925,369,211
9950,326,176
9975,301,160
10000,295,154
